Timestamp,Event_Type,Forget_Size,Model_Type,Accuracy,Compliance_Status,Details
2026-02-15 18:14:56,UNLEARNING_COMPLETE,1,DL,0.8558,PASSED,"Initial: 0, Remaining: 0"
2026-02-15 18:15:44,UNLEARNING_COMPLETE,1,ML,0.8206,PASSED,"Initial: 0, Remaining: 0"
2026-02-15 18:17:56,UNLEARNING_COMPLETE,1,DL,0.8558,PASSED,"Initial: 0, Remaining: 0"
2026-02-15 18:18:23,UNLEARNING_COMPLETE,1,ML,0.8208,PASSED,"Initial: 0, Remaining: 0"
2026-02-15 18:19:00,UNLEARNING_COMPLETE,1,ML,0.8208,PASSED,"Initial: 0, Remaining: 0"
2026-03-25 21:20:43,UNLEARNING_COMPLETE,1,DL,0.8460,PASSED,"Initial: 0, Remaining: 0"
2026-03-25 21:26:31,UNLEARNING_COMPLETE,1,DL,0.8460,PASSED,"Initial: 0, Remaining: 0"
2026-03-25 21:29:42,UNLEARNING_COMPLETE,1,DL,0.8460,PASSED,"Initial: 0, Remaining: 0"
2026-03-26 11:03:58,UNLEARNING_COMPLETE,1,DL,0.8559,PASSED,"Initial: 0, Remaining: 0"
2026-03-26 11:08:56,UNLEARNING_COMPLETE,1,DL,0.8559,PASSED,"Initial: 0, Remaining: 0"
